,content
19,"Muốn tìm lại một nội dung thông báo nào đó của đội LnD, của Phòng HCNS hay của các câu lạc bộ Đá Bóng, Cầu Lông... thật là khó khăn, chúng ta sẽ phải hỏi hết người này tới người khác mà cũng chưa chắc đã có câu trả lời đầy đủ. Việc tìm kiếm tin nhắn trên chatwork thì không mang nhiều hi vọng, còn việc nhớ ra tên nhóm rồi vào mục mô tả nhóm để tìm trong 1 loạt link đính kèm nghe cũng không khả thi hơn lắm.
"
20,"Chúng ta đã viết rất nhiều trên các nền tảng chat, nhưng sự hiệu quả của nó nhanh chóng bị dòng thời gian nhấn chìm, giờ là lúc chúng ta cần tối ưu lại giá trị cho những thứ chúng ta dầy công tạo ra.
"
21,"Nhưng đó vẫn chưa phải là mục tiêu cuối cùng cho sự ra đời của 𝐰𝐢𝐤𝐢.𝐡𝐛𝐥𝐚𝐛.𝐯𝐧. Chúng ta sắp bước sang tuổi thứ 6, thế nhưng những ký ức về 6 năm trước đâu đó chỉ thỉnh thoảng xuất hiện trong những câu truyện đơn lẻ mà một vài người biết đến. 6 Tuổi là lúc một đứa trẻ tập viết, còn với một doanh nghiệp thì cũng không còn sớm để bắt đầu viết lại những hoạt động của mình một cách chuẩn chỉ hơn.
"
22,"Nếu ai đó đã vào 𝐰𝐢𝐤𝐢.𝐡𝐛𝐥𝐚𝐛.𝐯𝐧 sẽ đều thấy mình có quyền thao tác(thêm, sửa, xóa) với bất kỳ bài viết nào, Nhưng hiện tại đa số mọi người chỉ dừng lại mức độ là xem. Hãy nhớ rằng wiki là nơi lưu giữ tri thức của mọi người, hãy tự t͟h͟ê͟m͟ những thứ chưa có, hãy s͟ử͟a͟ những gì đang chưa đúng (và hãy c͟h͟ắ͟c͟ ͟c͟h͟ắ͟n͟ về điều đó). Hãy tưởng tượng 4 năm sau khi Cty lên 1000 người chúng ta sẽ có được những câu truyện được số hóa từ hàng trăm cây bút trong công ty viết về cách mà chúng đã đi đến được ngày hôm đó: Hóa ra ngày đó quy trình như này à? hóa ra ngày đó có khóa Global Citizen với mấy module như này à? Sẽ còn rất nhiều thứ để kể về nữa.
"
23,"Hỡi những người anh em HBLAB, trước khi đặt phím viết những thông tin mang giá trị lâu dài dành cho 1 nhóm người hãy nhớ tới chúng ta có 𝐰𝐢𝐤𝐢.𝐡𝐛𝐥𝐚𝐛.𝐯𝐧: viết đẹp hơn, lưu trữ lâu hơn, tìm kiếm và chia sẻ hiệu quả hơn...
"
24,"Các nội dung trên trang wiki.hblab.vn
"
25,"Các tài liệu quy trình có thể công khai của các phòng ban
"
26,"ISMS
"
27,"Hành Chính Nhân Sự (HCNS)
"
28,"LnD
"
29,"Các Bộ Phận Sản Xuất(BPSX)
"
30,"Các tài liệu OKR của công ty và của các phòng ban, BPSX
"
31,"Các tài liệu của các câu lạc bộ
"
32,"Cầu lông
"
33,"Bóng đá
"
34,"....
"
35,"....
"
36,"Những ai có quyền thêm, sửa, xóa bài viết
"
37,"Trên nền tảng Core Value mà chúng ta đã cùng làm rõ ra vào năm 2020 đó là Trách Nhiệm thì: Mọi người đăng nhập vào đều có quyền thêm, sửa xóa bài viết
"
38,"Lưu ý: mọi thay đổi đều được lưu lại lịch sử, và mọi người đều có thể xem được lịch sử sửa đồi của tất cả các bài viết (mục View History góc trên bên phải mỗi bài viết)
"
39,"Các Mốc thay đổi lớn:
"
40,"10/07/2020: Deploy hệ thống wiki.hblab.vn
"
41,"11/2020 - 04/2021: các phòng ban cập nhật tài liệu lên hệ thống
"
42,"27/04/2021: Ngày chính thức thông báo trang wiki tới mọi người trong HBLAB
"
43,"Hướng dẫn tạo 1 bài viết trên HBLAB Wiki
"
44,"Tạo bài viết thông qua search box
"
45,"Điền tiêu đề của bài viết vào ô tìm kiếm (như hình bên phải), khi bạn điền hệ thống sẽ tự động lấy ra những bài viết gần với tiêu đề đó. Nếu nó có rồi thì bạn không nên tạo mới, mà hãy kiếm tra xem có cần thay đổi gì không?
"
46,"Nếu chưa có bài viết nào, thì màn hình sau sẽ xuất hiện.
"
47,"Như hình bên cạnh, chưa có bài viết nào ""Hướng dẫn tạo 1 bài viết trên HBLAB Wiki"", bạn click vào ""Hướng dẫn tạo 1 bài viết trên HBLAB Wiki"", để đi đến trang tạo bài viết này.
"
48,"Chú ý: Tiêu đề sẽ ko sửa được ở trong trang tạo bài viết.
"
49,"Cách sử dụng trình soạn thảo(VisualEditor)
"
50,"Ở phần này mình chỉ giới thiệu 1 số cái đặc biệt thôi, những cái khác cơ bản nên chỉ cần nhìn qua là hiểu cách làm.
"
51,"Insert: có thể thêm ảnh/video, thêm các template, thêm table ..
"
52,"Các tuỳ chọn cho page: thêm category, short link, tạo language cho bài viết(1 bài viết có thể tạo nhiều ngôn ngữ, và người xem có thể chuyển sang các ngôn ngữ khác nhau được) ..
"
53,"Để chuyển chế độ viết bài, có 2 chế độ :
"
54,"VisualEditing: giao diện trực quan
"
55,"Source Editing: Sửa theo cách code, có nhiều thành phần phải thêm thông qua tính năng này mà ko thể thêm ở giao diện của Visual Editing
"
56,"Save page: Thêm summary, có thể preview bài viết trước
"
57,"Thêm category cho bài viết
"
58,"Để có thể tìm kiếm nhanh, thì các bạn nên đặt các bài viết theo category để người xem tiện tìm kiếm cũng như theo dõi được nó.
"
59,"Các cách tạo bài viết khác
"
60,"Tạo bài viết thông qua link dưới đây:
"
61,"https://wiki.hblab.vn/index.php/ARTICLE    or
"
62,"https://wiki.hblab.vn/wiki/ARTICLE (chưa hoạt động)
"
63,"Chú ý: thay ARTICLE bằng tiêu đề bài viết bạn muốn thêm vào
"
64,"Tạo bài viết thông qua form dưới đây:
"
65,"bạn điền tiêu đề vào click vào button ""Create new article""
"
66,"Đây là cách đơn giản để tạo ra 1 bài viết. Có gì thắc mắc hãy trao đổi trực tiếp với @dieuhd nhé.
"
67,"Nhúng Google Docs
"
68,"Khi chúng ta viết bài trên wiki có khi chúng ta muốn nhúng 1 tài liệu Google Docs : Google Sheet, Document vào trong bài viết thì chúng ta có thể sử dụng cách sau
"
69,"Chèn Google  Sheet
"
70,"sử dụng trình Source Editing và chèn mã code dưới đây
"
71,"<googlespreadsheet width=""600"" height=""200"">Google Docs' key goes here</googlespreadsheet>
"
72,"[Google Docs' key] lấy ở trên link của file
"
73,"Chi tiết có thể xem thêm tại đây
"
74,"Chèn Google Document
"
75,"sử dụng trình Source Editing và chèn mã code dưới đây
"
76,"<gdoc id=""your-google-doc-id"" width=""800"" height=""600"" />
"
77,"[google-doc-id] lấy ở trên link của file
"
78,"Chi tiết có thể xem tại đây
"
79,"Chèn biểu đồ vào bài viết
"
80,"Để chèn biểu đồ vào bài viết, chúng ta có 2 cách dưới đây
"
81,"Export biểu ra ảnh rồi chèn vào
"
82,"Có nhiều công cụ miễn phí hỗ trợ chúng ta tạo ra biểu đồ, sau đó export ra file ảnh, và có thể chèn vào bài viết này. Ví dụ các công cụ hay được sử dụng: draw.io, cacoo ...
"
83,"Dùng code bằng PlantUML
"
84,"Hiện tại HBLAB Wiki đã tích hợp PlantUML để có thể vẽ được các biểu đồ UML, để có thể dễ dàng chỉnh sửa mà không cần phải vào các tool bên thứ 3 khác.
"
85,"Upload file và chèn vào bài viết
"
86,"Có 2 cách để upload file
"
87,"Thông qua trang quản lý file
"
88,"Vào trang Upload file: chọn file cần upload, sau đó điền tên file và mô tả về file đấy, để cho việc tìm kiếm dễ dàng.
"
89,"Click vào ""list of uploaded files"" để xem những file đã được upload lên
"
90,"Thông qua tính năng của trình soạn thảo
"
91,"Vào Insert -> Images and media: chọn file cần upload lên, điền thông tin đầy đủ rồi upload file.
"
92,"Ở đây cũng có thể tìm những file đã up lên và chèn vào bài viết.
"
93,"Nơi lưu trữ các bài viết của developers : https://blog.hblab.vn/
"
94,"Nơi quản lý thông tin nhân sự, quản lý mục tiêu, xin OT, quản lý dự án: https://opms.insight.hblab.co.jp/
"
95,"Nơi quản lý các request của moi người: request thiết bị, đồng dùng ... có thể gửi các claim ở đây : https://fb.hblab.vn/
"
96,"Nơi quản lý source code: https://git.hblab.vn/
"
97,"Hệ thống tự động kiếm tra convention code của các dự án: https://sonar.dev.hblab.vn/
"
98,"Quản lý task của dự án: https://hblab.backlogtool.com/
"
99,"Kênh trao đổi: https://www.chatwork.com/, Facebook Group, Email @hblab.vn
"
100,"Kênh thông tin tổng hợp: Radio Time
"
101,"Hệ thống học online: Learning Hub
"
102,"Các tài liệu chung của HBLAB
"
103,"Hướng dẫn đặt lịch phòng họp
"
104,"Hướng dẫn sử dụng OPMS
"
105,"Lịch nghỉ Lễ năm 2022
"
106,"Thông báo, Quyết định ban hành
"
107,"Các quy định về Bảo mật an toàn thông tin
"
108,"Lịch nghỉ Lễ năm 2023
"
109,"Các sự kiện của HBLAB 2021
"
110,"Sự kiện của HBLAB năm 2021
"
111,"Lịch nghỉ Lễ năm 2021
"
112,"Các tài liệu về quy trình sản xuất
"
113,"Khối sản xuất
"
114,"QT-SX-01-Standard Process
"
115,"QT-SX-02-L2 Process
"
116,"QT-SX-03-AI Process
"
117,"QT-SX-04-Requirement Process
"
118,"QT-SX-05-Design Process
"
119,"QT-SX-06-Code Process
"
120,"QT-SX-07-Test Process
"
121,"QT-SX-08-Causal Analysis and Resolution
"
122,"QA
"
123,"QT-QA-01-Quy trình xây dựng và quản lý quy trình
"
124,"QT-QA-02-Quy trình kiểm soát quy trình dự án
"
125,"QT-QA-01-QA check_Finalinspection
"
126,"Các tài liệu về bộ phận L&D
"
127,"Các chương trình đang tuyển sinh
"
128,"Bức tranh học tập HBLAB
"
129,"Chương trình dành cho Toàn dân
"
130,"Chương trình dành cho Developer
"
131,"Chương trình dành cho QC
"
132,"Chương trình dành cho PM
"
133,"Chương trình dành cho Quản lý
"
134,"Chương trình dành cho Tech Lead
"
135,"Chương trình dành cho các vị trí khác
"
136,"Các chương trình sắp khai giảng
"
137,"Thư viện HBLAB
"
138,"Bản tin học tập HBLAB
"
139,"Không gian học tập Udemy
"
140,"Dành cho developers
"
141,"Quy trình engineering
"
142,"Clean code: coding conventions, checklist clean code, review code process
"
143,"Git: git flow development, git convention
"
144,"Career path : Lộ trình phát triển
"
145,"Các tài liệu về quy trình BackOffice
"
146,"Quy trình Admin chung
"
147,"Quy trình Kế toán
"
148,"Quy trình Nhân sự
"
149,"Quy trình Truyền thông
"
150,"Quy trình IT
"
151,"Quy trình chốt dự án
"
152,"Các tài liệu về quy trình Sale, Marketing
"
153,"Tài liệu Marketing
"
154,"Tài liệu Sale
"
155,"Các tài liệu về quy trình Tổng hội
"
156,"Cơ chế hoạt động của Tổng Hội
"
157,"Thu - Chi quỹ Tổng Hội
"
158,"Các hoạt động và Budget tổ chức
"
159,"Chương trình hỗ trợ mùa dịch
"
160,"HBLAB - Notification
"
161,"Phòng chống dịch
"
162,"Hướng dẫn sử dụng tiết kiệm điện năng (từ 22/6/2021 đến 22/07/2021)
"
163,"Thông báo về việc đưa tầng 1 Lửng vào sử dụng
"
164,"Hành chính nhân sự Marketing - Hỗ trợ
"
165,"Chúng tôi rất vui khi được hỗ trợ bạn, vui lòng điền thông tin theo từng chức năng bên dưới để chúng tôi xử lý yêu cầu của bạn nhanh hơn.
"
166,"0. Để theo dõi quá trình xử lý các yêu cầu, anh chị có thể xem TẠI ĐÂY.
"
167,"1.Yêu cầu về IT
"
168,"Yêu cầu sự support từ nhân viên IT
"
169,"Yêu cầu cấp thêm thiết bị IT phục vụ công việc
"
170,"2. Yêu cầu về Truyền thông, sự kiện - Marketing Team
"
171,"Yêu cầu truyền thông, tổ chức sự kiện
"
172,"Lịch đăng ký Truyền thông
"
173,"Form Mô tả yêu cầu
"
174,"3. Yêu cầu về Nhân Sự
"
175,"Tuyển dụng
"
176,"Thưởng chứng chỉ
"
177,"Bảo hiểm xã hội, Bảo hiểm PVI
"
178,"4. Yêu cầu về Hành Chính (các vấn đề chung)
"
179,"Cơ sở vật chất & đồ dùng cá nhân
"
180,"Hỗ trợ sự kiện
"
181,"Góp ý cho bộ phận HCNS
"
182,"Quy trình ISMS
"
183,"Link quy trình: ISMS
"
184,"Công bố áp dụng: SOA
"
185,"Hướng dẫn đặt lịch phòng họp
"
186,"Jump to navigationJump to search
"
187,"Để vào trang đặt lịch Google Calendar của công ty, có thể vào trực tiếp vào 2 link dưới đây:
"
188,"- https://calendar.google.com/
"
189,"- https://calendar.hblab.vn/
"
190,"I. Cách đặt lịch phòng họp trên Google Calendar
"
191,"- (1): Để tạo lịch có thể click vào button ""Create"", hoặc click vào khoảng thời gian mà bạn muốn đặt lịch trên Calendar
"
192,"- (2): Điền tên cuộc họp: [Địa điểm][Bộ phận] Nội dung cuộc họp
"
193,"Ví dụ: [Learning][L&D] Weekly meeting
"
194,"- (3): Add guest những người liên quan vào (điền email)
"
195,"- (4): Add rooms or location. Chọn phòng họp, sẽ nói chi tiết ở phía dưới về chọn phòng họp
"
196,"- (5): Chỉnh sửa chi tiết (More opptions)
"
197,"- (6): Save cuộc họp lại trên calendar
"
198,"II. Cách chọn phòng họp
"
199,"Hiện tại công ty có 6 phòng và 1 khu vực họp lớn tại Relax
"
200,"Responsibility Room: phòng họp cạnh phòng server, dành cho 9 người
"
201,"Honesty Room: phòng họp VIP, dành cho 12 người
"
202,"Sharing Room: phòng phỏng vấn ngay cửa ra vào, dành cho 7 người
"
203,"Cụm 3 phòng họp: 3 phòng họp được ngăn cách bởi các tấm vách ngăn di động. Trong trường hợp các team cần sử dụng 2 phòng cùng một lúc (ghép phòng) thì cần book lịch họp 2 phòng trong cùng 1 khoảng thời gian
"
204,"+ Learning Room: phòng lớn, dành cho 24 người
"
205,"+ Agile Room: phòng nhỏ, dành cho 5 người
"
206,"+ Quality Room: phòng nhỏ, dành cho 5 người
"
207,"Relax: Việc đặt lịch tại khu Relax chỉ dành cho các cuộc đào tạo có số lượng lớn, cần full không gian khu vực (các cuộc họp nhóm nhỏ, ít người thi không cần đặt)
"
208,"+ Khi có nhu cầu đặt lịch tại khu vực RELAX, mọi người đặt lịch trực tiếp cho team Admin (TrangDTT, ThuyNT2, QuyenLTK)
"
209,"+ Tất cả lịch đặt tại khu Relax không phải do team Admin đặt sẽ tự động bị xóa khỏi Calendar
"
210,"Ngoài ra, có thêm các phòng (hiện chưa có lịch book trên calendar):
"
211,"Happiness Room: phòng cạnh kho, ưu tiên cho chị em có con nhỏ sử dụng, hoặc là nơi để nghỉ ngơi y tế
"
212,"Phonebooth: phòng dành cho các cuộc trao đổi nhỏ (2 người) hoặc nơi để cá nhân call riêng với khách hàng
"
213,"III. Kiểm tra thời gian trống các phòng họp
"
214,"(1) Điền tên phòng muốn check, ví dụ trong ảnh là Responsibility Room
"
215,"Khi đó các lịch họp đã được đặt dùng phòng Responsibility Room sẽ hiển thị ra, bạn chỉ cần chọn thời gian mà phòng này rảnh thì có thể đặt lịch cho cuộc họp của mình.
"
216,"IV. Cách add thêm phòng vào Calendar
"
217,"Xuất phát từ nhu cầu mở rộng văn phòng với mục đích đào tạo, tổ chức các cuộc họp, hoạt động nhóm. Công ty chính thức đưa vào sử dụng hệ thống 2 phòng họp dưới tầng 1 lửng
"
218,"(1): Để add thêm phòng trên Calendar click vào ""+"" tại Mục Other Calendars
"
219,"(2): Sau đó chọn Browse resourses
"
220,"(3): Tại Mục CP, tích chọn các phòng mới cần thêm
"
221,"Hướng dẫn sử dụng OPMS
"
222,"User Guide for Managerment
"
223,"Jump to navigationJump to search
"
224,"Đối tượng: Trưởng/phó bộ phận, PM được Trưởng bộ phận ủy quyền review member (gọi chung là Manager)
"
225,"Nhằm hướng dẫn cấp quản lý tự review và thực hiện Reivew Member
"
226,"I. Manager tự ghi nhận đánh giá - Self Review
"
227,"1. Truy cập menu Appraisal/6 Month
"
228,"2. Search bản ghi có tên mình
"
229,"3. Click bản ghi ở trạng thái Draft theo đợt Review (1H - đợt Review tháng 4; 2H - đợt Review tháng 10)
"
230,"4. Click button [Edit]
"
231,"5. Nhập đầy đủ các nội dung trên các tab: Kết quả 6 tháng trước , Kế hoạch 6 tháng tới, Đề xuất (lưu ý không được để trống các dữ liệu bắt buộc có dấu (*))
"
232,"Lưu ý: Mục III. GHI NHẬN HIỆU QUẢ CÔNG VIỆC HÀNG THÁNG trên tab Kết quả 6 tháng trước hiện chưa có dữ liệu nhưng đây là trường bắt buộc phải nhập thông tin trên hệ thống nên làm theo hướng dẫn sau:
"
233,"- Click [Add an item]
"
234,"- Chọn Tháng liền trước đợt review (VD: Review tháng 4 chọn tháng 03, Review tháng 10 chọn tháng 09), Dự án mà mình tham gia và nhập điểm đánh giá theo mẫu trong hình
"
235,"II. Review chéo cho Member bộ phận khác (nếu có)
"
236,"Managers có thể được các trưởng bộ phận khác nhờ đánh giá member
"
237,"Bước 1. Truy cập menu Appraisals/My files
"
238,"Bước 2 . Filter “New” ,""Đợt đánh giá""
"
239,"Màn hình hiển thị các bản ghi mà anh/chị là người Review chéo
"
240,"Bước 3. Click chọn bản ghi và nhấn button [ Edit ]
"
241,"Bước 4. Nhập đầy đủ nội dung vào các tiêu chí review ở cả 2 tab Đánh giá chung, Đề xuất
"
242,"Bước 5. Click button [ Save] để lưu dữ liệu
"
243,"Bước 6. Click button [ Submit ] để hoàn thiện review
"
244,"III. Manager review/feedback bản tự review của members
"
245,"1. Xem dữ liệu Members tự đánh giá
"
246,"Bước 1. Truy cập menu Appraisals/6 Month: hiển thị danh sách các bản tự đánh giá của Members
"
247,"Bước 2. Click chọn bản ghi có chế độ Status = Submitted
"
248,"Các bản ghi có chế độ Draft là các bản ghi chưa được hoàn thành, Managers sẽ không thấy dữ liệu bên trong. Nếu qua Deadline members tự đánh giá Manager chủ động nhắc members kiểm tra và nộp lại.
"
249,"Lưu ý: Mục Manager’s Note là nơi trưởng bộ phận (Manager) note và chỉ Manager thấy được, ngay cả DL hay Admin cũng không nhìn thấy được. Vì vậy không sử dụng chức năng này.
"
250,"Bước 3.  Click [ Approve ] bản tự review đạt yêu cầu
"
251,"Managers có thể để lại Comment, Members sẽ đọc được Comment này
"
252,"Bước 4. Click [ Reject ] bản tự review không đạt yêu cầu
"
253,"Managers Comment lại lý do Reject (VD: điền thiếu trường thông tin, bản review sơ sài,...)
"
254,"Chọn Deadline yêu cầu members sửa và nộp lại bản review
"
255,"Bước 5. Click [ Set to Draft ] để cấp quyền cho members sửa lại bản review
"
256,"2. Xem dữ liệu Members đánh giá chéo
"
257,"Bước 1: Truy cập menu Appraisals/6 Month
"
258,"Bước 2. Click chọn bản ghi có chế độ Status = Submitted
"
259,"Bước 3. Chọn Button Reviews
"
260,"Bước 4. Màn hình hiển thị các bản ghi người khác review về Members
"
261,"Lưu ý: PM được Trưởng bộ phận ủy quyền review member ghi lại nhận xét, đánh giá ở mục ""Authorized's Note""
"
262,"User Guide for Members
"
263,"Jump to navigationJump to search
"
264,"Hướng dẫn Member thực hiện Review
"
265,"Đối tượng:
"
266,"- Nhân viên:
"
267,"+ Tự ghi nhận đánh giá cá nhân
"
268,"+ Nhận xét bản đánh giá khác (nếu được assign)
"
269,"+ Review đồng nghiệp và cấp trên
"
270,"Link OPMS: https://opms.insight.hblab.co.jp/web/login
"
271,"Đăng nhập bằng tài khoản gmail công ty
"
272,"A. Tự Ghi nhận đánh giá - Self Review:
"
273,"1. Truy cập menu Appraisal/6 Month
"
274,"2. Click bản ghi ở trạng thái Draft theo đợt Review
"
275,"VD: Đợt review tháng 4: Year năm, Term 1H, Đợt review tháng 10: Year năm, Term 2H
"
276,"3. Click button [Edit]
"
277,"4. Nhập đầy đủ các nội dung trên các tab: Kết quả 6 tháng trước , Kế hoạch 6
"
278,"tháng tới, Đề xuất (lưu ý không được để trống các dữ liệu bắt buộc có dấu (*))
"
279,"Lưu ý:
"
280,"Mục III. GHI NHẬN HIỆU QUẢ CÔNG VIỆC HÀNG THÁNG trên tab Kết quả 6 tháng trước hiện chưa có dữ liệu nhưng đây là trường bắt buộc phải nhập thông tin trên hệ thống nên members làm theo hướng dẫn sau:
"
281,"- Click [Add an item]
"
282,"- Chọn Tháng liền trước đợt review (VD: Review tháng 4 chọn tháng 03, Review tháng 10 chọn tháng 09), Dự án mà mình tham gia và nhập điểm đánh giá theo mẫu trong hình
"
283,"5. Click button [ Save ] để lưu dữ liệu
"
284,"6. Click button [ Submit ] để hoàn thiện review
"
285,"B. Review đồng nghiệp
"
286,"(Tùy theo đối tượng được review là đồng nghiệp hay cấp trên mà có các tiêu chí review tương ứng)
"
287,"1. Truy cập menu Review Requests/ My files
"
288,"2. Click chọn bản ghi ở trạng thái New
"
289,"3. Click button [ Edit ]
"
290,"4. Nhập đầy đủ nội dung vào các tiêu chí review ở cả 2 tab Đánh giá chung, Đề xuất
"
291,"5. Click button [ Save ] để lưu dữ liệu
"
292,"6. Click button [ Submit ] để hoàn thiện review
"
293,"C. Nhận xét /góp ý về thành viên khác khi được Ủy quyền
"
294,"- Khi được người quản lý giao cho làm Authorized Person của một đánh giá (Ví dụ: Manager mới ủy quyền cho manager cũ review members), thực hiện thao tác như sau:
"
295,"1. Truy cập menu Appraisal/6 Month
"
296,"2. Chọn bản ghi mà mình làm Authorized Person
"
297,"3. Click button [ Edit ]
"
298,"4. Trên tab Authorized Person’s note, nhập nội dung nhận xét
"
299,"5. Click button [ Save ]
"
300,"Hướng dẫn log OT
"
301,"Jump to navigationJump to search
"
302,"Nhằm hướng dẫn CBCNV v/v log OT trên OPMS
"
303,"Bước 1: Truy cập vào Module Project
"
304,"Bước 2: Thao tác khai báo OT trong mục Overtime
"
305,"I. Chức năng của từng menu
"
306,"Requests:
"
307,"- Hiển thị các OT request của hệ thống.
"
308,"- Cho phép người dùng thêm, sửa, xóa các request.
"
309,"- Cho phép người dùng tìm kiếm, filter, group theo nhiều tiêu chí.
"
310,"Timesheets:
"
311,"- Hiển thị các khai báo timesheet của các member dự án tương ứng với các request overtime của hệ thống
"
312,"- Cho phép người dùng thêm, sửa, xóa các timesheet
"
313,"- Cho phép người dùng tìm kiếm, filter, group theo nhiều tiêu chí.
"
314,"II. Thao tác chi tiết
"
315,"1.Tạo Request OT
"
316,"PM cần phải tạo Request overtime, chỉ những request đã được approve mới cho phép tạo timesheet
"
317,"Lưu ý: hiện tại PM khi đăng ký OT thì đăng ký OT cho cả tháng. Cấu trúc đặt tên là [Năm][Tháng]_[Tên dự án] VD: 202003_Koueki
"
318,"Ở phần Allowance:
"
319,"- Chọn “Ngày thường’’ Start Date là ngày đầu tháng và End Date là ngày cuối tháng.
"
320,"- Chọn “Cuối tuần” Start Date là ngày đầu tháng và End Date là ngày cuối tháng.
"
321,"- Chọn “Buổi tối sau 22h” Start Date là ngày đầu tháng và End Date là ngày cuối tháng.
"
322,"- Chọn “Buổi tối sau 22h (cuối tuần)” Start Date là ngày đầu tháng và End Date là ngày cuối tháng
"
323,"- Chọn “Ngày lễ” Start Date là ngày đầu tháng và End Date là ngày cuối tháng.
"
324,"Để đảm bảo member có thể log OT được, PM lưu ý chọn hết tất cả các mục đã nêu trên
"
325,"Thao tác:
"
326,"- Click button ​[Create] ​trên menu Requests
"
327,"- Nhập nội dung các trường: [Description], [Project], [OT reason]
"
328,"- Trên tab ​[Detail] ​click text [​Add an item​] để tạo 1 request detail
"
329,"- Nhập đầy đủ thông tin:
"
330,"- Allowance: Loại hình OT.
"
331,"- Start Date/ End Date: Thời gian OT theo ngày
"
332,"- Start Hour/ End Hour: Thời gian OT theo giờ
"
333,"- Click button ​[Save] ​để lưu lại request OT vừa tạo
"
334,"- Click button ​[Submit]​ để gửi request lên trưởng bộ phận.
"
335,"Lưu ý: ​Với những nhân viên chỉ OT support dự án (không phải member dự án) PM chỉ cần add employee vào danh sách member outside. Những member này chỉ có thể log timesheet OT, không có quyền xem dữ liệu dự án, đồng thời không được add vào các group của dự án:
"
336,"- Trên Request OT, click tab ​Member outside project
"
337,"- Click text button ​Add an item
"
338,"- Chọn Employee ​làm member outside
"
339,"2. Approve Request OT
"
340,"DL cần approve request OT thì member dự án mới có thể thực hiện log timesheet OT
"
341,"- Trên tree view Request OT
"
342,"- Click request đang ở trạng thái Waiting Approve
"
343,"- Click button [​Approve​] để đồng ý với request, cho phép member log timesheet
"
344,"- Click button [​Reject​] để từ chối request
"
345,"3. Khai Timesheets OT
"
346,"Member dự án chỉ có thể tạo timesheet tương ứng với các request OT đã được approve; chỉ những timesheet đã được approve (by DL) mới được tính phụ cấp OT
"
347,"Thao tác:
"
348,"- Click button [​Create​] trên menu Timesheets.
"
349,"- Nhập dữ liệu các trường [Project], [Request OT], [Timesheet Date], [Start Hour], [End Hour]
"
350,"- Click [​Save​] để lưu dữ liệu
"
351,"- Click [​Submit to PM​] để gửi request lên PM
"
352,"***Quy định về thời gian OT
"
353,"Ngày thường: nhân hệ số 1.5
"
354,"Ngày thường sau 22h: nhân hệ số 2
"
