label,raw text
Các hệ thống của HBLAB,"Blog: Nơi lưu trữ các bài viết của developers
OPMS: Nơi quản lý thông tin nhân sự, quản lý mục tiêu, xin OT, quản lý dự án ....
Feedback: Nơi quản lý các request của moi người: request thiết bị, đồng dùng ... có thể gửi các claim ở đây
Gitlab: Nơi quản lý source code
Sonar: Hệ thống tự động kiếm tra convention code của các dự án
Backlog: Quản lý task của dự án
Hướng dẫn sử dụng backlog:Hướng dẫn sử dụng backlog
Hướng dẫn luồng quản lý Task và Defect trên tool Backlog: Hướng dẫn luồng quản lý Task và Defect trên tool Backlog
Hướng dẫn quản lý task chi tiết trên tool Backlog: Hướng dẫn quản lý task chi tiết trên tool Backlog
Hướng dẫn quản lý defect chi tiết trên tool Backlog: Hướng dẫn quản lý defect chi tiết trên tool Backlog
Hướng dẫn import Issue lên tool Backlog: Hướng dẫn import Issue lên tool Backlog
Chatwork: Kênh trao đổi
HBLAB All - Quy định Sử dụng HBLAB All
HBLAB Developer: Kênh trao đổi về kỹ thuật của các developers
FOOTBALL: Kênh câu lạc bộ bóng đá
BADMINTON: Kênh câu lạc bộ cầu lông
HBLAB - NOTIFICATION: Kênh thông báo của công ty - Quy định Sử dụng HBLAB - NOTIFICATION
Tips sử dụng Chatwork hiệu quả
Facebook Group: Kênh trao đổi
FB Group HBLAB Family: Nhân viên join vào Group trong Quy trình Onboard do HR hướng dẫn. Cần trả lời câu hỏi xác minh để được duyệt làm thành viên.
Quy định Sử dụng FB Group HBLAB Family
Email @hblab.vn: Kênh trao đổi
Quy định Sử dụng Email @hblab.vn
Danh sách Account email các phòng ban
Hướng dẫn thay đổi chữ ký Gmail @hblab.vn
Radio Time: Kênh thông tin tổng hợp - Quy trình sản xuất kênh Radio
Hệ thống học online: Learning Hub"
Hướng dẫn đặt lịch phòng họp,"Để vào trang đặt lịch Google Calendar của công ty, có thể vào trực tiếp vào 2 link dưới đây:

- https://calendar.google.com/

- https://calendar.hblab.vn/


Contents
1	I. Cách đặt lịch phòng họp trên Google Calendar
2	II. Cách chọn phòng họp
3	III. Kiểm tra thời gian trống các phòng họp
4	IV. Cách add thêm phòng vào Calendar
I. Cách đặt lịch phòng họp trên Google Calendar
- (1): Để tạo lịch có thể click vào button ""Create"", hoặc click vào khoảng thời gian mà bạn muốn đặt lịch trên Calendar

- (2): Điền tên cuộc họp: [Địa điểm][Bộ phận] Nội dung cuộc họp

Ví dụ: [Learning][L&D] Weekly meeting

- (3): Add guest những người liên quan vào (điền email)

- (4): Add rooms or location. Chọn phòng họp, sẽ nói chi tiết ở phía dưới về chọn phòng họp

- (5): Chỉnh sửa chi tiết (More opptions)

- (6): Save cuộc họp lại trên calendar
II. Cách chọn phòng họp
Hiện tại công ty có 6 phòng và 1 khu vực họp lớn tại Relax

Responsibility Room: phòng họp cạnh phòng server, dành cho 9 người
Honesty Room: phòng họp VIP, dành cho 12 người
Sharing Room: phòng phỏng vấn ngay cửa ra vào, dành cho 7 người
Cụm 3 phòng họp: 3 phòng họp được ngăn cách bởi các tấm vách ngăn di động. Trong trường hợp các team cần sử dụng 2 phòng cùng một lúc (ghép phòng) thì cần book lịch họp 2 phòng trong cùng 1 khoảng thời gian
+ Learning Room: phòng lớn, dành cho 24 người

+ Agile Room: phòng nhỏ, dành cho 5 người

+ Quality Room: phòng nhỏ, dành cho 5 người

Relax: Việc đặt lịch tại khu Relax chỉ dành cho các cuộc đào tạo có số lượng lớn, cần full không gian khu vực (các cuộc họp nhóm nhỏ, ít người thi không cần đặt)
+ Khi có nhu cầu đặt lịch tại khu vực RELAX, mọi người đặt lịch trực tiếp cho team Admin (TrangDTT, ThuyNT2, QuyenLTK)

+ Tất cả lịch đặt tại khu Relax không phải do team Admin đặt sẽ tự động bị xóa khỏi Calendar

Ngoài ra, có thêm các phòng (hiện chưa có lịch book trên calendar):

Happiness Room: phòng cạnh kho, ưu tiên cho chị em có con nhỏ sử dụng, hoặc là nơi để nghỉ ngơi y tế
Phonebooth: phòng dành cho các cuộc trao đổi nhỏ (2 người) hoặc nơi để cá nhân call riêng với khách hàng
III. Kiểm tra thời gian trống các phòng họp
(1) Điền tên phòng muốn check, ví dụ trong ảnh là Responsibility Room

Khi đó các lịch họp đã được đặt dùng phòng Responsibility Room sẽ hiển thị ra, bạn chỉ cần chọn thời gian mà phòng này rảnh thì có thể đặt lịch cho cuộc họp của mình.


HÌNH 3. KIỂM TRA THỜI GIAN TRỐNG CÁC PHÒNG HỌP
IV. Cách add thêm phòng vào Calendar
Xuất phát từ nhu cầu mở rộng văn phòng với mục đích đào tạo, tổ chức các cuộc họp, hoạt động nhóm. Công ty chính thức đưa vào sử dụng hệ thống 2 phòng họp dưới tầng 1 lửng"
Hướng dẫn sử dụng OPMS,"[OPMS-Appraisal] User Guide for Management (Vietnamese)
[OPMS-Appraisal] User Guide for Management (English)
[OPMS-Appraisal] User Guide for Members (Vietnamese)
[OPMS-Appraisal] User Guide for Members (English)
[OPMS-Project] Hướng dẫn log OT
[OPMS-Working Timesheet] User guide"
Lịch nghỉ lễ năm 2022,"I. HBLAB Việt Nam
Năm 2022 người lao động tại Việt Nam sẽ được nghỉ các ngày lễ, Tết sau:

- Tết Dương lịch: 03 ngày;

- Tết Âm lịch: 09 ngày;

- Ngày Giỗ Tổ Hùng Vương: 03 ngày;

- Ngày Giải phóng miền Nam và Quốc tế Lao động: 04 ngày;

- Quốc khánh: 04 ngày;

Do đó, năm 2022, người lao động có chế độ làm việc nghỉ thứ bảy, chủ nhật hàng tuần sẽ có tất cả 23 ngày nghỉ lễ, Tết. Cụ thể như sau:

1. Tết Dương lịch 2022 - 03 ngày

Tết Dương lịch năm 2022 (ngày 01/01/2022) rơi vào thứ Bảy, tiếp đó là ngày nghỉ Chủ nhật. Vì vậy, người lao động có chế độ nghỉ 2 ngày/tuần (nghỉ thứ Bảy và Chủ nhật hàng tuần) sẽ được nghỉ 3 ngày, từ 01/01/2022 đến hết ngày 03/01/2022.

2. Tết Âm lịch 2022 - 09 ngày

Tết Âm lịch Nhâm Dần từ ngày 29/01/2022 đến hết ngày 06/02/2022. Như vậy, người lao động được nghỉ liên tục 09 ngày, từ thứ Bảy (ngày 29/01/2022 - 27 tháng Chạp năm Tân Sửu) đến hết ngày chủ nhật (ngày 06/02/2022 - Mùng 6 tháng Giêng năm Nhâm Dần).

3. Giỗ tổ Hùng Vương - 03 ngày

Dịp giỗ tổ Hùng Vương (10/03 Âm lịch) năm 2022 rơi vào ngày Chủ nhật, 10/04/2022 Dương lịch. Do đó, người lao động sẽ được nghỉ bù vào ngày thứ Hai, 11/04/2022.

4. Ngày Giải phóng miền Nam và Quốc tế Lao động (30/4 - 1/5) - 04 ngày

Năm 2022, ngày Giải phóng miền Nam (30/4) và ngày Quốc tế lao động (01/5) rơi vào thứ Bảy và Chủ Nhật nên người lao động sẽ được nghỉ bù ngày thứ Hai và thứ Ba của tuần tiếp theo.

Như vậy, trong dịp lễ này, người lao động sẽ được nghỉ 04 ngày liên tiếp từ ngày 30/04/2022 đến hết ngày 03/05/2022.

5. Ngày Quốc khánh (02/9)

Phương án nghỉ lễ Quốc khánh từ ngày 01/09/2022 đến hết ngày 04/09/2022. Như vậy, người lao động sẽ được nghỉ liên tục 04 ngày."
"Thông báo, Quyết định ban hành","Thông báo, Quyết định ban hành năm 2021
Thông báo, Quyết định ban hành năm 2022
Thông báo, Quyết định ban hành năm 2023"
Các quy định về Bảo mật an toàn thông tin,https://docs.google.com/document/d/1iX0B7kALLkgHQDvm2AoSaL-_m4Trx0nH/edit#heading=h.bte20x94s6k5
Lịch nghỉ Lễ năm 2023,"I. HBLAB Việt Nam
Năm 2023 người lao động tại Việt Nam sẽ được nghỉ các ngày lễ, Tết sau:

- Tết Dương lịch: 02 ngày;

- Tết Âm lịch: 10 ngày;

- Giỗ Tổ Hùng Vương (10/3 Âm lịch) và Ngày 30/4 - Quốc tế lao động 1/5 liền kề nhau: 05 ngày

- Ngày Quốc khánh: 04 ngày;

Do đó, năm 2023, người lao động có chế độ làm việc nghỉ thứ Bảy, Chủ nhật hàng tuần sẽ có tất cả 21 ngày nghỉ lễ, Tết. Cụ thể như sau:

1. Tết Dương lịch 2023 - 02 ngày

Tết Dương lịch năm 2023 (ngày 01/01/2023) rơi vào chủ Nhật. Vì vậy, CBNV sẽ được nghỉ bù 1 ngày vào thứ Hai kế tiếp, từ 01/01/2023 đến hết ngày 02/01/2023.

2. Tết Âm lịch 2023 - 10 ngày

Tết Âm lịch Quý Mão từ ngày 20/01/2023 đến hết ngày 26/01/2023. Tuy nhiên, để tạo điều kiện cho CBNV được nghỉ dịp Tết bên gia đình được liền mạch, nên CBNV sẽ làm bù cho ngày 27/01/2023 vào ngày thứ Bảy đầu tiên của tháng Một, tức ngày thứ Bảy, 07/01/2023. Vì vậy, CBNV sẽ được nghỉ liên tục 10 ngày, từ thứ Sáu (ngày 20/01/2023 – 29 tháng Chạp năm Nhâm Dần ) đến hết ngày Chủ nhật (ngày 29/01/2023 - Mùng 8 tháng Giêng năm Quỹ Mão).

3. Giỗ tổ Hùng Vương và Ngày Giải phóng miền Nam và Quốc tế Lao động (30/4 - 1/5) – 05 ngày

Dịp Giỗ tổ Hùng Vương (10/03 Âm lịch) và dịp 30/4 - Quốc tế Lao động 1/5 liền kề nhau, rơi vào cuối tuần từ ngày thứ Bảy, 29/04/2023. Vì vậy, CBNV sẽ được nghỉ bù vào ngày làm việc của tuần kế tiếp. Kỳ nghỉ sẽ kéo dài 05 ngày, từ ngày thứ Bảy, 29/04/2023 đến hết ngày thứ Tư, 03/05/2023

4. Ngày Quốc khánh (02/09)

Nghỉ lễ Quốc khánh từ thứ Sáu, ngày 01/09/2023 đến hết ngày 04/09/2023. Như vậy, CBNV sẽ được nghỉ liên tục 04 ngày.

II. HBLAB Japan
1.    Lịch nghỉ lễ tháng 01/2023

-       01/01/2023 Tết Dương lịch

-       02/01/2023: Tết Dương lịch

-       03/01/2023: Tết Dương lịch

-       09/01/2023: Ngày lễ khác

-       20/01/2023: Tết Âm lịch

-       23/01/2023: Tết Âm lịch

2.    Lịch nghỉ lễ tháng 02/2023

-       11/02/2023: Ngày lễ khác

-       23/02/2023: Ngày lễ khác

3.    Lịch nghỉ lễ tháng 03/2023

-       21/03/2023: Ngày lễ khác

4.    Lịch nghỉ lễ tháng 04/2023

-       29/04/2023: Ngày lễ khác

5.    Lịch nghỉ lễ tháng 05/2023

-       03/05/2023: Ngày lễ khác

-       04/05/2023: Ngày lễ khác

-       05/05/2023: Ngày lễ khác

6.    Lịch nghỉ lễ tháng 06/2023

Không có ngày nghỉ lễ

7.    Lịch nghỉ lễ tháng 07/2023

-       17/07/2023: Ngày lễ khác

""8.    Lịch nghỉ lễ tháng 08/2023

-       11/08/2023: Ngày lễ khác""

9.    Lịch nghỉ lễ tháng 09/2023

-       18/09/2023: Ngày lễ khác

-       23/09/2023: Ngày lễ khác

10.    Lịch nghỉ lễ tháng 10/2023

-       10/10/2023: Ngày lễ khác

11.    Lịch nghỉ lễ tháng 11/2023

-       03/11/2023: Ngày lễ khác

-       23/11/2023: Ngày lễ khác

-       28/11/2023: Ngày thành lập Công ty

12.    Lịch nghỉ lễ tháng 12/2023

-       29/12/2023: Tết Dương lịch

-       30/12/2023: Tết Dương lịch

-       31/12/2023: Tết Dương lịch"
Các sự kiện của HBLAB 2021,"Sự kiện của HBLAB năm 2021
Lịch nghỉ Lễ năm 2021"
Các tài liệu về quy trình sản xuất,"Khối sản xuất
QT-SX-01-Standard Process
QT-SX-02-L2 Process
QT-SX-03-AI Process
QT-SX-04-Requirement Process
QT-SX-05-Design Process
QT-SX-06-Code Process
QT-SX-07-Test Process
QT-SX-08-Causal Analysis and Resolution
QA
QT-QA-01-Quy trình xây dựng và quản lý quy trình
QT-QA-02-Quy trình kiểm soát quy trình dự án
QT-QA-01-QA check_Finalinspection"
Các tài liệu về bộ phận L&D,"Các chương trình đang tuyển sinh
Bức tranh học tập HBLAB
Chương trình dành cho Toàn dân
Chương trình dành cho Developer
Chương trình dành cho QC
Chương trình dành cho PM
Chương trình dành cho Quản lý
Chương trình dành cho Tech Lead
Chương trình dành cho các vị trí khác
Các chương trình sắp khai giảng
Thư viện HBLAB
Bản tin học tập HBLAB
Không gian học tập Udemy
Cơ chế thưởng chứng chỉ"
Dành cho developers,"Quy trình engineering
Clean code: coding conventions, checklist clean code, review code process
Git: git flow development, git convention
Career path : Lộ trình phát triển"
Các tài liệu về quy trình BackOffice,"Quy trình Admin chung
Quy trình Kế toán
Quy trình Nhân sự
Quy trình Truyền thông
Quy trình IT
Quy trình chốt dự án"
"Các tài liệu về quy trình Sale, Marketing","Tài liệu Marketing
Tài liệu Sale"
Các tài liệu về quy trình Tổng hội,"Cơ chế hoạt động của Tổng Hội
Thu - Chi quỹ Tổng Hội
Các hoạt động và Budget tổ chức
Chương trình hỗ trợ mùa dịch"
HBLAB - Notification,"Phòng chống dịch
Hướng dẫn sử dụng tiết kiệm điện năng (từ 22/6/2021 đến 22/07/2021)
Thông báo về việc đưa tầng 1 Lửng vào sử dụng"
Hành chính nhân sự Marketing - Hỗ trợ,"Chúng tôi rất vui khi được hỗ trợ bạn, vui lòng điền thông tin theo từng chức năng bên dưới để chúng tôi xử lý yêu cầu của bạn nhanh hơn.

0. Để theo dõi quá trình xử lý các yêu cầu, anh chị có thể xem TẠI ĐÂY.

1.Yêu cầu về IT

Yêu cầu sự support từ nhân viên IT
Yêu cầu cấp thêm thiết bị IT phục vụ công việc
2. Yêu cầu về Truyền thông, sự kiện - Marketing Team

Yêu cầu truyền thông, tổ chức sự kiện
Lịch đăng ký Truyền thông
Form Mô tả yêu cầu
3. Yêu cầu về Nhân Sự

Tuyển dụng
Thưởng chứng chỉ
Bảo hiểm xã hội, Bảo hiểm PVI
4. Yêu cầu về Hành Chính (các vấn đề chung)

Cơ sở vật chất & đồ dùng cá nhân
Hỗ trợ sự kiện
Góp ý cho bộ phận HCNS"
Quy trình ISMS,"Link quy trình: ISMS
Công bố áp dụng: SOA"
